Housing-1
,Area_name,New houses,New other residential building,Total dwellings,Value of new houses,Value of new other residential building,Value of alterations & additions including conversions to residential building,Value of total residential building,Value of non-residential building,Value of total building
116011307,Lalor Park - Kings Langley,86,39,126,"26,860","12,617","7,362","46,840","62,968","109,808"
116011560,Blacktown - South,34,8,42,"8,085","1,820","1,026","10,930",0,"10,930"
116011561,Blacktown - West,49,2,51,"12,918",660,836,"14,414","20,987","35,401"
116011626,Seven Hills - Prospect,39,18,57,"13,930","6,546","2,028","22,504","43,530","66,034"
116011627,Toongabbie - West,19,41,60,"8,807","14,881",605,"24,292","3,920","28,212"
11602,Blacktown - North,"1,997","2,691","4,690","712,033","725,941","11,509","1,449,483","286,244","1,735,728"
116021309,Glenwood,10,0,11,"2,955",0,"2,501","5,456","52,188","57,644"
116021562,Acacia Gardens,5,0,5,"1,999",0,442,"2,440","3,137","5,577"
116021563,Quakers Hill,70,2,72,"19,186",651,"2,052","21,889","1,083","22,972"
116021628,Kellyville Ridge - The Ponds,6,56,62,"2,587","14,000","2,904","19,491","37,493","56,983"
116021629,Marsden Park - Shanes Park,"1,020",319,"1,339","356,917","75,311",273,"432,501","107,461","539,962"
116021630,Riverstone,325,200,525,"112,946","48,342","1,052","162,339","36,894","199,233"
116021631,Schofields (West) - Colebee,285,29,315,"109,832","7,355","1,127","118,314",60,"118,374"
116021632,Schofields - East,272,"2,085","2,357","103,816","580,282",852,"684,951","44,974","729,925"
116021633,Stanhope Gardens - Parklea,4,0,4,"1,795",0,308,"2,103","2,955","5,058"
11603,Mount Druitt,242,44,287,"49,436","11,312","10,351","71,099","294,684","365,783"
116031313,Bidwill - Hebersham - Emerton,53,6,59,"8,102","1,582",594,"10,278","2,323","12,601"
116031314,Glendenning - Dean Park,16,0,16,"4,532",0,792,"5,324","49,898","55,221"
116031315,Hassall Grove - Plumpton,48,2,51,"9,466",563,"2,281","12,310","5,790","18,100"
116031316,Lethbridge Park - Tregear,35,1,36,"6,417",227,"4,822","11,466",375,"11,840"
116031317,Mount Druitt - Whalan,49,17,66,"12,069","4,227",819,"17,115","17,894","35,009"
116031318,Prospect Reservoir,0,0,0,0,0,36,36,"94,829","94,865"
116031319,Rooty Hill - Minchinbury,41,18,59,"8,850","4,713","1,008","14,571","123,576","138,147"
