Housing-1
,Area_name,New houses,New other residential building,Total dwellings,Value of new houses,Value of new other residential building,Value of alterations & additions including conversions to residential building,Value of total residential building,Value of non-residential building,Value of total building
123031448,The Oaks - Oakdale,55,0,56,"24,054",0,"3,895","27,948",230,"28,178"
124031707,Cranebrook - Castlereagh,39,5,44,"11,864","2,115","3,243","17,221","21,679","38,900"
124031708,Jordan Springs - Llandilo,62,157,219,"20,134","59,738",351,"80,223","10,494","90,716"
124,Sydney - Outer West and Blue Mountains,"1,024",730,"1,763","375,425","220,421","72,429","668,275","644,183","1,312,458"
12401,Blue Mountains,137,23,163,"53,565","7,965","35,344","96,874","48,068","144,941"
124011449,Blackheath - Megalong Valley,23,0,23,"9,627",0,"2,318","11,945","15,562","27,506"
124011450,Blaxland - Warrimoo - Lapstone,32,10,43,"14,171","4,146","10,763","29,080","3,121","32,201"
124011451,Blue Mountains - North,0,0,0,0,0,0,0,0,0
124011452,Katoomba - Leura,25,11,37,"8,919","3,191","6,272","18,382","8,071","26,453"
124011453,Lawson - Hazelbrook - Linden,17,2,19,"6,174",628,"3,639","10,441",354,"10,795"
124011454,Springwood - Winmalee,27,0,28,"10,671",0,"7,413","18,085","20,900","38,984"
124011455,Wentworth Falls,13,0,13,"4,002",0,"4,939","8,941",60,"9,001"
12402,Blue Mountains - South,0,0,0,0,0,0,0,0,0
124021456,Blue Mountains - South,0,0,0,0,0,0,0,0,0
12403,Penrith,638,320,960,"240,535","106,795","23,379","370,709","442,384","813,093"
124031457,Cambridge Park,34,17,51,"7,636","6,229",286,"14,151",450,"14,601"
124031459,Emu Plains - Leonay,16,47,64,"7,824","15,259","3,945","27,028","9,381","36,409"
124031460,Glenmore Park - Regentville,6,1,7,"1,913",186,"2,978","5,077",220,"5,297"
124031461,Jamisontown - South Penrith,42,10,52,"9,972","3,192","4,027","17,191","6,180","23,371"
124031462,Kingswood - Werrington,50,60,110,"19,245","13,422",986,"33,653","269,065","302,718"
124031463,Mulgoa - Luddenham - Orchard Hills,138,4,142,"75,383","1,207","3,045","79,635","45,833","125,468"
124031464,Penrith,15,11,27,"3,119","3,245","2,471","8,835","78,374","87,208"
124031465,Warragamba - Silverdale,236,8,244,"83,447","2,202","2,047","87,696",709,"88,405"
12404,Richmond - Windsor,129,25,156,"58,772","9,022","5,676","73,471","86,051","159,522"
124041466,Richmond - Clarendon,101,21,124,"47,041","6,278","3,132","56,451","69,456","125,906"
124041467,Windsor - Bligh Park,15,2,17,"5,064",745,"1,206","7,015","16,393","23,408"
124041468,Yarramundi - Londonderry,13,2,15,"6,667","2,000","1,338","10,005",203,"10,208"
12405,St Marys,120,362,484,"22,553","96,640","8,029","127,222","67,680","194,902"
124051469,Erskine Park,11,4,15,"2,094",750,"1,506","4,350","26,425","30,775"
124051470,St Clair,43,13,56,"9,058","3,924","4,188","17,170",540,"17,710"
124051580,Colyton - Oxley Park,26,27,53,"5,164","5,934","1,054","12,152",0,"12,152"
124051581,St Marys - North St Marys,40,318,360,"6,237","86,032","1,282","93,550","40,715","134,266"
125,Sydney - Parramatta,850,"3,749","4,613","356,218","1,286,039","65,126","1,707,384","1,828,872","3,536,255"
12501,Auburn,128,"1,336","1,469","46,925","458,385","4,378","509,689","355,808","865,497"
125011475,Rookwood Cemetery,0,0,0,0,0,0,0,80,80
125011582,Auburn - Central,25,11,38,"7,971","3,289",625,"11,885","116,799","128,685"
125011583,Auburn - North,0,116,116,0,"25,923",0,"25,923","36,959","62,882"
125011584,Auburn - South,27,8,37,"9,123","2,852",475,"12,450","2,637","15,087"
125011585,Berala,18,2,21,"5,744",700,300,"6,744",157,"6,901"
125011586,Lidcombe,42,26,68,"18,923","12,508","1,105","32,536","113,333","145,869"
125011587,Regents Park,15,28,43,"5,008","9,046",677,"14,731","1,300","16,032"
125011709,Silverwater - Newington,1,2,3,155,900,608,"1,663","5,985","7,648"
125011710,Wentworth Point - Sydney Olympic Park,0,"1,143","1,143",0,"403,168",588,"403,756","78,558","482,315"
12502,Carlingford,143,560,705,"75,253","223,287","15,057","313,597","17,869","331,466"
125021477,Ermington - Rydalmere,59,345,404,"27,542","138,307","4,629","170,478","3,718","174,196"
125021478,Oatlands - Dundas Valley,41,114,155,"26,161","47,430","2,143","75,734","8,660","84,394"
125021711,Carlingford - East,18,29,47,"9,557","13,156","6,604","29,317","1,379","30,696"
125021712,Carlingford - West,25,72,99,"11,993","24,394","1,681","38,069","4,112","42,180"
12503,Merrylands - Guildford,344,"1,102","1,449","131,357","327,229","17,057","475,642","192,195","667,837"
125031479,Chester Hill - Sefton,54,70,124,"12,858","26,842","2,174","41,875","23,951","65,826"
125031480,Fairfield - East,40,22,63,"12,280","8,169","1,191","21,639","15,638","37,277"
125031481,Granville - Clyde,35,5,41,"13,528","1,628","3,001","18,158","8,344","26,502"
125031483,Guildford - South Granville,49,68,117,"15,438","27,374","1,684","44,496","9,846","54,342"
125031484,Guildford West - Merrylands West,48,87,136,"18,328","30,543","1,683","50,554","5,412","55,966"
125031486,Smithfield Industrial,0,0,0,0,0,0,0,"27,954","27,954"
125031487,Yennora Industrial,0,0,0,0,0,0,0,"32,008","32,008"
125031713,Greystanes - South,52,44,96,"24,080","18,242","3,340","45,662","1,507","47,169"
125031714,Merrylands - Holroyd,31,430,461,"16,890","121,745","1,730","140,365","37,124","177,489"
125031715,Pemulwuy - Greystanes (North),18,326,344,"11,293","76,350",744,"88,387","30,410","118,797"
125031716,South Wentworthville,17,50,67,"6,662","16,335","1,511","24,508",0,"24,508"
12504,Parramatta,235,751,990,"102,684","277,138","28,634","408,456","1,262,999","1,671,455"
125041489,North Parramatta,21,41,62,"8,969","16,350","2,945","28,264","10,694","38,958"
125041490,North Rocks,19,10,30,"8,905","3,620","5,157","17,682","5,403","23,085"
125041491,Northmead,19,41,62,"7,872","16,814","4,388","29,074","387,816","416,890"
125041493,Toongabbie - Constitution Hill,81,81,162,"35,254","29,156","3,096","67,505","21,903","89,408"
125041494,Winston Hills,35,10,45,"19,738","3,273","7,176","30,187",210,"30,397"
125041588,Pendle Hill - Girraween,27,100,127,"9,001","28,735",918,"38,654","3,316","41,970"
125041589,Wentworthville - Westmead,22,70,93,"9,617","22,641","3,189","35,446","42,788","78,234"
125041717,Parramatta - North,0,396,396,0,"155,800",730,"156,530","712,260","868,790"
125041718,Parramatta - South,7,2,9,"2,204",750,400,"3,354",319,"3,673"
125041719,Rosehill - Harris Park,4,0,4,"1,125",0,635,"1,760","78,291","80,050"
126011720,Epping (East) - North Epping,34,6,40,"28,547","2,547","4,831","35,925","1,078","37,003"
126011721,Epping (NSW) - West,51,43,94,"26,640","16,873","4,472","47,984","3,454","51,439"
126,Sydney - Ryde,522,858,"1,382","311,420","349,598","89,453","750,472","865,731","1,616,202"
12601,Pennant Hills - Epping,136,55,192,"84,347","21,348","25,430","131,125","10,082","141,206"
126011496,Pennant Hills - Cheltenham,51,6,58,"29,160","1,929","16,126","47,215","5,549","52,765"
12602,Ryde - Hunters Hill,386,803,"1,190","227,073","328,250","64,024","619,347","855,649","1,474,996"
126021498,Gladesville - Huntleys Point,43,46,89,"34,439","22,474","13,851","70,765","10,650","81,415"
126021499,Hunters Hill - Woolwich,18,8,27,"15,440","5,453","15,224","36,117","1,114","37,231"
126021500,Macquarie Park - Marsfield,15,74,89,"6,246","29,022","1,920","37,188","762,768","799,956"
126021501,North Ryde - East Ryde,57,88,145,"30,761","37,088","7,085","74,933","15,237","90,170"
126021503,West Ryde - Meadowbank,49,221,270,"28,822","80,376","5,509","114,708","2,138","116,846"
126021590,Putney,26,18,44,"19,643","8,864","3,325","31,833",70,"31,903"
126021722,Denistone,15,40,55,"8,020","16,406","3,126","27,552","16,789","44,341"
126021723,Eastwood,52,131,183,"26,752","56,681","6,427","89,860","11,405","101,265"
126021724,Ryde - North,89,167,256,"46,988","67,736","6,421","121,145","16,167","137,311"
126021725,Ryde - South,22,10,32,"9,963","4,150","1,135","15,248","19,310","34,558"
127,Sydney - South West,"4,187","1,427","5,654","1,451,253","457,308","48,457","1,957,018","1,387,305","3,344,323"
12701,Bringelly - Green Valley,"3,212",493,"3,719","1,150,742","140,437","13,882","1,305,061","485,688","1,790,749"
127011504,Ashcroft - Busby - Miller,64,30,95,"11,494","8,117",906,"20,517","1,615","22,132"
127011505,Austral - Greendale,"1,000",99,"1,105","337,480","29,271",627,"367,378","56,173","423,551"
127011592,Badgerys Creek,0,0,0,0,0,0,0,0,0
127011593,Cecil Hills,3,0,3,555,0,192,747,0,747
127011594,Green Valley,15,4,19,"3,531","1,197",563,"5,291",0,"5,291"
127011595,Hinchinbrook,24,2,26,"4,977",700,"1,758","7,435","9,144","16,579"
127011596,Hoxton Park - Carnes Hill - Horningsea Park,43,4,47,"16,814",857,280,"17,951","1,166","19,117"
127011597,West Hoxton - Middleton Grange,29,27,57,"11,203","5,655","1,143","18,001","8,475","26,476"
127011726,Cobbitty - Bringelly,182,22,204,"63,056","5,203","4,729","72,988",350,"73,338"
127011727,Gledswood Hills - Gregory Hills,295,87,383,"127,114","25,915",842,"153,871","55,250","209,120"
127011728,Leppington - Catherine Field,"1,218",90,"1,310","445,327","20,276","1,119","466,722","119,031","585,753"
127011729,Oran Park,339,128,470,"129,191","43,245","1,724","174,160","234,484","408,644"
12702,Fairfield,557,501,"1,075","167,090","186,354","17,327","370,771","352,001","722,773"
127021509,Bonnyrigg Heights - Bonnyrigg,41,3,45,"9,719",837,935,"11,490","18,022","29,512"
127021510,Bossley Park - Abbotsbury,50,130,182,"19,998","77,141","3,701","100,839","8,541","109,380"
127021511,Cabramatta - Lansvale,49,43,93,"17,410","13,145","1,437","31,992","16,687","48,679"
127021512,Cabramatta West - Mount Pritchard,76,45,121,"17,114","13,884",638,"31,636","3,278","34,914"
127021513,Canley Vale - Canley Heights,84,60,146,"27,427","18,630",681,"46,737","5,319","52,056"
127021514,Edensor Park,24,0,25,"8,004",0,956,"8,960",0,"8,960"
127021515,Fairfield,26,22,48,"6,956","7,216",546,"14,717","11,268","25,986"
127021516,Fairfield - West,72,109,186,"21,576","31,120","1,247","53,942","2,369","56,310"
127021517,Greenfield Park - Prairiewood,19,0,21,"3,840",0,814,"4,654","7,417","12,070"
127021518,Horsley Park - Kemps Creek,16,6,22,"9,446","3,385","2,970","15,801","249,401","265,202"
127021519,Smithfield - Wetherill Park,69,81,152,"18,726","20,098","2,467","41,292","4,162","45,454"
127021520,St Johns Park - Wakeley,31,2,34,"6,875",900,938,"8,713","1,750","10,463"
127021521,Wetherill Park Industrial,0,0,0,0,0,0,0,"23,787","23,787"
12703,Liverpool,418,433,860,"133,421","130,517","17,248","281,186","549,615","830,801"
127031522,Casula,16,37,54,"3,676","10,169","1,637","15,482","34,918","50,400"
127031523,Chipping Norton - Moorebank,77,132,210,"25,042","36,055","1,242","62,339","34,841","97,179"
127031524,Holsworthy - Wattle Grove,29,21,51,"13,793","7,077","4,349","25,219","20,425","45,644"
127031599,Lurnea - Cartwright,34,31,65,"6,782","8,772","2,073","17,627",552,"18,179"
127031601,Warwick Farm,1,0,2,90,0,50,140,"1,648","1,788"
127031730,Edmondson Park,201,190,393,"70,069","62,319","1,058","133,446","133,141","266,587"
127031731,Liverpool - East,2,4,6,530,800,"2,727","4,057","241,370","245,427"
127031732,Liverpool - West,37,6,45,"7,939","1,430","3,475","12,844","48,977","61,821"
127031733,Prestons,21,12,34,"5,500","3,895",638,"10,032","33,744","43,776"
128,Sydney - Sutherland,312,999,"1,320","180,142","480,492","126,045","786,679","212,926","999,605"
12801,Cronulla - Miranda - Caringbah,148,673,824,"91,668","347,334","65,023","504,025","79,325","583,350"
128011529,Gymea - Grays Point,27,58,85,"13,029","27,341","11,412","51,782","1,328","53,109"
128011530,Miranda - Yowie Bay,25,201,226,"13,504","75,737","6,533","95,774","18,570","114,343"
128011531,Sylvania - Taren Point,14,53,67,"9,170","25,048","8,679","42,897","13,292","56,189"
128011602,Caringbah,12,50,63,"5,839","21,787","4,527","32,153","35,347","67,500"
128011603,Caringbah South,23,133,156,"13,408","59,614","7,171","80,193","3,289","83,481"
128011604,Cronulla - Kurnell - Bundeena,30,122,153,"24,205","105,318","13,175","142,698","7,256","149,954"
128011605,Lilli Pilli - Port Hacking - Dolans Bay,4,2,7,"2,956",825,"2,139","5,919",0,"5,919"
128011606,Woolooware - Burraneer,13,54,67,"9,558","31,664","11,388","52,610",245,"52,855"
12802,Sutherland - Menai - Heathcote,164,326,496,"88,474","133,158","61,022","282,654","133,602","416,255"
128021533,Heathcote - Waterfall,6,57,64,"2,382","28,751","4,102","35,235","1,191","36,426"
128021534,Illawong - Alfords Point,9,2,12,"4,106",526,"6,802","11,434","1,550","12,984"
128021535,Menai - Lucas Heights - Woronora,68,31,100,"39,775","8,050","7,524","55,349","3,297","58,646"
128021536,Oyster Bay - Como - Jannali,34,37,72,"18,376","15,167","18,222","51,765","15,801","67,565"
128021537,Royal National Park,0,0,0,0,0,0,0,"1,137","1,137"
128021538,Sutherland - Kirrawee,18,107,126,"9,001","49,658","6,268","64,927","103,611","168,539"
128021607,Engadine,19,88,107,"10,158","29,625","11,268","51,051","1,180","52,231"
128021608,Loftus - Yarrawarrah,7,4,12,"3,928","1,381","5,745","11,053","5,835","16,888"
128021609,Woronora Heights,3,0,3,747,0,"1,092","1,840",0,"1,840"
,,,,,,,"1,073,642","7,651,688","4,077,009","11,728,696"
,,,,,,,"98,351","724,268","374,888","1,099,155"
,,,,,,,"18,935","203,448","162,187","365,635"
,,,,,,,"4,525","24,642","1,012","25,654"
,,,,,,,"1,400","2,260",589,"2,849"
,,,,,,,"4,139","8,066","85,749","93,815"
,,,,,,,752,"4,396","2,656","7,052"
,,,,,,,"1,672","4,345","10,320","14,665"
,,,,,,,656,"67,028","60,000","127,028"
,,,,,,,"5,792","92,711","1,861","94,573"
,,,,,,,"8,690","51,336","38,856","90,192"
,,,,,,,617,"1,970",618,"2,588"
,,,,,,,"1,753","5,659","13,423","19,082"
,,,,,,,"1,647","6,137","1,234","7,371"
,,,,,,,"4,672","37,571","23,581","61,151"
,,,,,,,"47,658","230,922","80,990","311,911"
,,,,,,,"2,702","16,259","7,697","23,956"
,,,,,,,"4,912","51,730",505,"52,235"
,,,,,,,"4,717","25,849","43,494","69,343"
,,,,,,,"3,882","18,278","4,480","22,758"
,,,,,,,"5,657","23,565","2,861","26,426"
,,,,,,,0,607,0,607
,,,,,,,"2,055","7,337","5,521","12,857"
,,,,,,,"3,058","8,650","3,717","12,367"
,,,,,,,"8,466","26,952","3,578","30,530"
,,,,,,,"4,881","26,922","4,708","31,630"
,,,,,,,"7,328","24,773","4,430","29,203"
,,,,,,,"9,754","152,884","42,167","195,051"
,,,,,,,"5,328","106,611","40,501","147,112"
,,,,,,,"4,427","46,273","1,666","47,939"
,,,,,,,"13,314","85,678","50,688","136,366"
,,,,,,,"3,171","19,211","14,707","33,918"
,,,,,,,"4,865","42,661","27,912","70,573"
,,,,,,,"2,054","15,690","5,184","20,874"
,,,,,,,"3,224","8,116","2,885","11,001"
,,,,,,,"81,967","492,751","315,011","807,762"
,,,,,,,"19,326","126,276","64,111","190,386"
,,,,,,,"5,644","54,632","27,256","81,888"
,,,,,,,"4,917","24,254","2,031","26,286"
,,,,,,,"2,352","13,158","15,902","29,060"
,,,,,,,"4,350","14,988","9,455","24,443"
,,,,,,,"2,064","19,244","9,465","28,709"
,,,,,,,"15,974","88,462","59,613","148,075"
,,,,,,,604,"6,578","7,872","14,451"
,,,,,,,"3,450","18,634","7,344","25,978"
,,,,,,,"1,565","8,987","3,034","12,021"
,,,,,,,"3,383","14,727","8,359","23,086"
,,,,,,,"3,016","3,863","2,067","5,930"
,,,,,,,"2,702","25,713","11,261","36,974"
,,,,,,,318,"1,583",478,"2,061"
,,,,,,,936,"8,376","19,198","27,574"
,,,,,,,"18,628","118,251","59,244","177,495"
,,,,,,,"2,917","15,769","9,453","25,221"
,,,,,,,"3,469","22,070","3,779","25,849"
,,,,,,,"8,056","61,263","7,416","68,680"
,,,,,,,611,"2,648",755,"3,403"
,,,,,,,"3,574","16,501","37,841","54,342"
,,,,,,,0,0,0,0
,,,,,,,"28,040","159,762","132,043","291,806"
,,,,,,,"2,228","15,546","23,360","38,905"
,,,,,,,"9,614","25,442","65,149","90,591"
,,,,,,,"7,442","77,981","31,898","109,879"
,,,,,,,"8,756","40,793","11,637","52,430"
,,,,,,,"48,211","352,969","121,205","474,174"
,,,,,,,"15,081","128,430","26,127","154,557"
,,,,,,,"2,543","22,704","11,090","33,793"
,,,,,,,"5,093","30,580","4,796","35,376"
,,,,,,,"7,445","75,146","10,241","85,387"
,,,,,,,"33,131","224,540","95,078","319,618"
,,,,,,,"2,483","6,588",500,"7,088"
,,,,,,,"4,435","32,641","10,456","43,096"
,,,,,,,"1,938","82,669","35,849","118,518"
,,,,,,,"1,079","3,901","1,099","5,000"
,,,,,,,637,"2,429",927,"3,356"
,,,,,,,"7,223","30,178","2,589","32,767"
,,,,,,,"7,537","33,147","31,217","64,364"
,,,,,,,"1,384","3,734",450,"4,184"
,,,,,,,"6,415","29,252","11,991","41,244"
,,,,,,,"19,991","159,312","141,504","300,816"
,,,,,,,"1,985","12,145","31,513","43,658"
,,,,,,,346,"1,845",481,"2,326"
,,,,,,,226,226,"16,363","16,590"
,,,,,,,308,"1,450","5,437","6,887"
,,,,,,,235,"7,754","4,082","11,836"
,,,,,,,870,870,"5,150","6,020"
,,,,,,,"2,927","5,520","27,619","33,139"
,,,,,,,"2,827","5,420","25,227","30,647"
,,,,,,,100,100,"2,393","2,492"
,,,,,,,"15,079","141,647","82,372","224,019"
,,,,,,,457,"1,909","4,813","6,722"
,,,,,,,"2,009","7,522","7,526","15,048"
,,,,,,,"5,700","48,424","37,186","85,609"
,,,,,,,"1,145","50,822","6,138","56,960"
,,,,,,,"2,934","11,197","1,802","13,000"
,,,,,,,568,"3,213","11,765","14,978"
,,,,,,,"1,088","8,879","7,678","16,557"
,,,,,,,"1,180","9,681","5,465","15,146"
,,,,,,,"90,023","1,071,736","435,740","1,507,476"
,,,,,,,"27,279","402,800","45,512","448,312"
,,,,,,,"7,207","152,921","21,032","173,954"
,,,,,,,"4,531","91,502","6,690","98,191"
,,,,,,,"5,090","29,443","1,359","30,802"
,,,,,,,"2,760","14,271","1,910","16,181"
,,,,,,,"3,543","75,333","3,566","78,899"
,,,,,,,"2,361","28,798","6,616","35,414"
,,,,,,,"1,786","10,532","4,339","14,872"
,,,,,,,"26,269","367,511","162,578","530,089"
,,,,,,,"3,538","43,612","4,697","48,309"
,,,,,,,"4,954","20,453","1,984","22,437"
,,,,,,,"4,153","18,684","58,457","77,142"
,,,,,,,"5,416","105,536","43,055","148,592"
,,,,,,,"1,208","41,802","34,612","76,414"
,,,,,,,"3,036","13,916",577,"14,493"
,,,,,,,"3,965","123,507","19,196","142,703"
,,,,,,,"29,990","259,538","137,230","396,768"
,,,,,,,"4,701","19,543","1,027","20,570"
,,,,,,,"1,948","12,157","1,949","14,106"
,,,,,,,"11,092","56,859","36,492","93,351"
,,,,,,,"1,278","42,194","80,994","123,188"
,,,,,,,"3,063","11,341",489,"11,830"
,,,,,,,"2,700","14,538",465,"15,003"
,,,,,,,"5,207","102,907","15,814","118,721"
,,,,,,,"6,485","41,887","90,421","132,308"
,,,,,,,"1,064","10,710","56,656","67,366"
,,,,,,,627,"9,581","1,479","11,060"
,,,,,,,"1,326","8,555","27,417","35,972"
,,,,,,,"3,468","13,041","4,869","17,910"
,,,,,,,"132,032","1,026,258","186,174","1,212,432"
,,,,,,,"17,779","196,553","36,467","233,020"
,,,,,,,"4,708","41,410","12,884","54,293"
,,,,,,,"1,300","100,642","4,425","105,067"
,,,,,,,0,0,0,0
,,,,,,,"3,853","17,154","8,136","25,290"
,,,,,,,"2,414","14,820","4,135","18,955"
,,,,,,,"3,120","14,630","6,762","21,392"
,,,,,,,"2,384","7,898",125,"8,023"
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,"49,037","503,993","73,759","577,752"
,,,,,,,"1,658","135,752","12,883","148,636"
,,,,,,,"1,594","9,275","18,290","27,565"
,,,,,,,"9,432","46,042","4,070","50,112"
,,,,,,,"8,259","18,581",697,"19,279"
,,,,,,,"17,946","40,582","1,072","41,653"
,,,,,,,"4,170","194,891","6,884","201,776"
,,,,,,,"1,889","26,547","21,129","47,676"
,,,,,,,"4,089","32,322","8,733","41,055"
,,,,,,,"65,216","325,712","75,949","401,660"
,,,,,,,"11,961","50,953","1,778","52,732"
,,,,,,,"7,078","26,569","9,179","35,748"
,,,,,,,"8,000","28,174","2,418","30,591"
,,,,,,,"4,806","15,924","10,301","26,225"
,,,,,,,"16,226","37,451","7,713","45,163"
,,,,,,,"11,732","51,186","8,764","59,950"
,,,,,,,"1,354","92,042","28,837","120,879"
,,,,,,,"4,060","23,413","6,960","30,373"
,,,,,,,"78,336","642,097","178,449","820,546"
,,,,,,,"16,653","74,873","54,137","129,010"
,,,,,,,"1,534","11,329","3,541","14,870"
,,,,,,,"5,668","28,074","40,270","68,344"
,,,,,,,"7,607","32,278","1,687","33,966"
,,,,,,,"1,844","3,191","8,640","11,831"
,,,,,,,"15,209","135,396","37,764","173,159"
,,,,,,,"1,572","14,150","22,159","36,309"
,,,,,,,"1,275","6,599",699,"7,297"
,,,,,,,"4,464","33,616","2,087","35,703"
,,,,,,,"1,546","20,868","7,490","28,359"
,,,,,,,"4,064","24,502","4,237","28,739"
,,,,,,,"2,288","35,661","1,091","36,752"
,,,,,,,0,0,0,0
,,,,,,,0,0,0,0
,,,,,,,"32,047","273,645","68,932","342,577"
,,,,,,,"7,993","73,559","15,678","89,237"
,,,,,,,"3,988","95,245","39,571","134,816"
,,,,,,,"1,890","5,714","2,675","8,388"
,,,,,,,"5,420","49,111","7,982","57,093"
,,,,,,,"6,678","18,910","2,307","21,217"
,,,,,,,"6,079","31,106",720,"31,826"
,,,,,,,"14,428","158,184","17,616","175,800"
,,,,,,,"3,282","12,269","1,726","13,995"
,,,,,,,"5,221","71,312",757,"72,069"
,,,,,,,"2,548","33,387","13,601","46,988"
,,,,,,,"2,324","34,461",729,"35,189"
,,,,,,,"1,053","6,756",803,"7,559"
,,,,,,,"45,852","374,102","119,924","494,026"
,,,,,,,"27,075","220,809","66,222","287,032"
,,,,,,,"5,735","102,559","23,292","125,851"
,,,,,,,"3,065","15,810","5,112","20,922"
,,,,,,,"7,405","27,518","15,037","42,555"
,,,,,,,"8,688","55,754","12,392","68,147"
,,,,,,,"2,183","19,169","10,389","29,558"
,,,,,,,"4,824","29,633","28,133","57,766"
,,,,,,,380,788,469,"1,257"
,,,,,,,"3,597","25,313","18,727","44,040"
,,,,,,,848,"3,532","8,937","12,469"
,,,,,,,"13,953","123,660","25,569","149,228"
,,,,,,,"1,555","7,078","3,075","10,153"
,,,,,,,"2,802","25,451","2,793","28,244"
,,,,,,,"1,547","4,854","1,138","5,993"
,,,,,,,"1,693","12,453","3,409","15,862"
,,,,,,,"2,590","49,007","1,637","50,644"
,,,,,,,"3,767","24,817","13,516","38,333"
,,,,,,,"37,049","256,928","220,435","477,364"
,,,,,,,"6,275","38,866","45,885","84,751"
,,,,,,,"4,104","24,423","42,749","67,172"
,,,,,,,496,"2,048","2,594","4,642"
,,,,,,,794,"6,282",300,"6,582"
,,,,,,,882,"6,113",243,"6,355"
,,,,,,,"11,247","51,076","31,468","82,544"
,,,,,,,"1,825","6,839","5,766","12,606"
,,,,,,,"3,203","20,639","2,779","23,417"
,,,,,,,597,"3,003","1,200","4,203"
,,,,,,,"2,274","4,443","3,616","8,059"
,,,,,,,"3,349","16,153","18,107","34,260"
,,,,,,,"3,832","12,079","54,101","66,179"
,,,,,,,736,"2,187","7,508","9,695"
,,,,,,,0,"3,098","4,250","7,347"
,,,,,,,"2,264","5,290","12,343","17,633"
,,,,,,,832,"1,504","30,000","31,504"
,,,,,,,"15,695","154,907","88,982","243,889"
,,,,,,,"1,237","21,907","24,468","46,375"
,,,,,,,122,"3,649","7,887","11,536"
,,,,,,,"1,516","5,712","2,243","7,954"
,,,,,,,"1,869","36,323","21,638","57,961"
,,,,,,,"5,532","41,366","10,052","51,418"
,,,,,,,224,"8,652","18,412","27,064"
,,,,,,,"5,196","37,299","4,282","41,581"
,,,,,,,"167,298","938,932","1,159,995","2,098,928"
,,,,,,,"57,787","300,850","117,223","418,074"
,,,,,,,"4,188","29,193","51,093","80,286"
,,,,,,,"4,402","14,173","1,792","15,965"
,,,,,,,"16,369","63,394","10,570","73,964"
,,,,,,,"10,197","21,663","16,798","38,461"
,,,,,,,"2,292","19,398","11,861","31,259"
,,,,,,,"2,739","10,407","4,530","14,937"
,,,,,,,"5,215","84,748","4,172","88,920"
,,,,,,,"4,399","15,814",516,"16,330"
,,,,,,,"7,986","42,061","15,891","57,952"
,,,,,,,"26,808","327,215","40,385","367,600"
,,,,,,,"2,890","20,454","3,392","23,846"
,,,,,,,"4,532","34,586",166,"34,752"
,,,,,,,"2,183","88,637","6,792","95,428"
,,,,,,,"4,258","127,332","23,167","150,499"
,,,,,,,"5,844","29,248","3,274","32,522"
,,,,,,,"5,392","18,171","1,150","19,321"
,,,,,,,"1,708","8,788","2,445","11,233"
,,,,,,,"82,703","310,867","1,002,387","1,313,254"
,,,,,,,"10,957","32,036","9,187","41,222"
,,,,,,,656,"3,190","53,891","57,081"
,,,,,,,"12,874","29,351","34,929","64,280"
,,,,,,,"10,312","36,123","789,592","825,714"
,,,,,,,"1,714","24,363","4,248","28,611"
,,,,,,,"7,900","17,548","31,154","48,703"
,,,,,,,"12,145","46,083","5,255","51,338"
,,,,,,,"8,749","18,613","27,170","45,783"
,,,,,,,0,0,"1,755","1,755"
,,,,,,,425,"26,419","2,505","28,924"
,,,,,,,"3,572","14,228",148,"14,376"
,,,,,,,"3,236","36,229","5,315","41,544"
,,,,,,,"2,939","10,577","33,157","43,735"
,,,,,,,"7,224","16,106","4,083","20,189"
,,,,,,,"113,581","563,750","220,464","784,214"
,,,,,,,"66,623","293,312","53,586","346,897"
,,,,,,,"5,485","12,560","14,565","27,125"
,,,,,,,"8,257","53,986","5,803","59,790"
,,,,,,,"14,400","39,411","4,306","43,717"
,,,,,,,"5,190","19,427","5,500","24,927"
,,,,,,,"18,402","61,622","18,854","80,476"
,,,,,,,"1,829","11,829","2,805","14,634"
,,,,,,,"6,606","69,842",0,"69,842"
,,,,,,,"6,455","24,634","1,754","26,387"
,,,,,,,"14,821","93,806","72,135","165,941"
,,,,,,,944,"7,944","10,671","18,615"
,,,,,,,"2,491","6,753","2,586","9,339"
,,,,,,,"1,144","34,510","1,231","35,742"
,,,,,,,"2,020","5,387",607,"5,995"
,,,,,,,"1,979","6,903","53,307","60,210"
,,,,,,,"6,244","32,309","3,732","36,041"
,,,,,,,"32,136","176,633","94,744","271,377"
,,,,,,,"7,633","66,469","36,633","103,101"
,,,,,,,"1,971","3,438","4,816","8,254"
,,,,,,,"1,924","9,643","1,420","11,063"
,,,,,,,"8,546","23,211","6,299","29,510"
,,,,,,,"6,837","22,008","7,530","29,537"
,,,,,,,"2,472","15,431",0,"15,431"
,,,,,,,"2,307","11,813",278,"12,090"
,,,,,,,447,"24,621","37,769","62,390"
,,,,,,,"48,598","378,298","433,807","812,105"
,,,,,,,"10,184","94,718","243,722","338,440"
,,,,,,,"3,938","63,165","168,455","231,619"
,,,,,,,"2,423","11,492","65,561","77,053"
,,,,,,,"2,964","13,233","4,419","17,652"
,,,,,,,859,"6,828","5,288","12,116"
,,,,,,,"5,092","24,643","15,496","40,139"
,,,,,,,"2,222","9,744","2,111","11,855"
,,,,,,,"1,858","9,965","4,842","14,807"
,,,,,,,"1,011","4,934","8,543","13,477"
